n,support_fake,support_real,accuracy,macro_f1,weighted_f1,fake_precision,fake_recall,fake_f1,real_precision,real_recall,real_f1,mcc,TP,TN,FP,FN,source_name,n_total,n_used_metrics,n_excluded_undefined,split,accuracy_ci_low,accuracy_ci_high,macro_f1_ci_low,macro_f1_ci_high,fake_f1_ci_low,fake_f1_ci_high,mcc_ci_low,mcc_ci_high
6281,2197,4084,0.6279254895717242,0.5970746837036855,0.630570351524738,0.4701619778346121,0.5020482476103778,0.4855822143957737,0.7219822109275731,0.69564152791381,0.7085671530115975,0.19489725894602405,1103,2841,1243,1094,classic_models::bertimbau_large__gaussian_nb,6281,6281,0,val,0.6167807673937271,0.6400254736506925,0.5846073256621145,0.6098636333333173,0.4673516843288709,0.5045597676024692,0.16995312496791629,0.2203681897971833
6281,2197,4084,0.6280846998885528,0.5928801778668058,0.6288471150920557,0.4689316048278945,0.47746927628584435,0.47316193053676137,0.7161226508407518,0.7091087169441724,0.7125984251968503,0.18581456256529102,1049,2896,1188,1148,classic_models::albertina_ptbr_100m__gaussian_nb,6281,6281,0,val,0.6169399777105556,0.6401886642254417,0.580731689831577,0.6060306809548182,0.45441997221873476,0.49227560896041755,0.16166369140578332,0.21232418093301703
6281,2197,4084,0.6172583983442127,0.5884795721360818,0.6211741206338199,0.4572843582335947,0.5043240782885753,0.47965367965367967,0.7177293934681181,0.6780117531831538,0.697305464618484,0.17863728036308257,1108,2769,1315,1089,classic_models::albertina_ptbr_900m__gaussian_nb,6281,6281,0,val,0.6054728546409808,0.6291991721063525,0.5763415491803189,0.6012837469867393,0.4615376154861417,0.49850278265338455,0.15431184318336708,0.20387391698906288
5767,3807,1960,0.6767816889197156,0.574164006203838,0.6411137977885168,0.7027760384053433,0.8844234305227213,0.7832053966038613,0.5491803278688525,0.27346938775510204,0.3651226158038147,0.19945450798132466,3367,536,1424,440,zero_shot::qwen2:7b,5767,5767,0,val,0.6642968614530952,0.6890931160048552,0.5599763504162635,0.5883016094245849,0.7732612095412092,0.7930319303079673,0.17062797302940472,0.22634507259695744
5767,3807,1960,0.5848794867348708,0.5505888549196891,0.5903470451033932,0.6988460455952716,0.6522195954820068,0.6747282608695652,0.4019873532068654,0.45408163265306123,0.4264494489698131,0.10353122297017582,2483,890,1070,1324,zero_shot::gemma3:12b,5767,5767,0,val,0.5720435234957517,0.597711114964453,0.5375847931798119,0.5639872519693218,0.6625235180039774,0.687199719567085,0.07740883996880034,0.13014433377380044
5765,3807,1958,0.5300954032957502,0.5144764192354372,0.5424063046585694,0.6834893048128342,0.5371683740478067,0.6015590528018826,0.36458708979444643,0.5163432073544433,0.4273937856689918,0.0507212372044905,2045,1011,947,1762,zero_shot::deepseek-r1:8b,5767,5765,2,val,0.5174327840416305,0.5431092801387684,0.5016561827995827,0.5276210117387448,0.587940749855625,0.6156755324378506,0.02588212932693625,0.07748492371600593
5767,3807,1960,0.53719438182764,0.5122572741198369,0.5475784688562727,0.6743259803921569,0.5781455214079327,0.6225427803705275,0.3583699560527367,0.4576530612244898,0.4019717678691463,0.034212105789719505,2201,897,1063,1606,zero_shot::qwen2.5:14b,5767,5767,0,val,0.5248829547425005,0.5503728108201839,0.4999734970889937,0.5253233175036519,0.6099638647629042,0.636022024783645,0.0096731176869393,0.06073775232271636
5761,3805,1956,0.5261239368165249,0.5071278685401047,0.5381833329460296,0.6741172659540007,0.5469119579500658,0.6038885664538596,0.35527299925205685,0.48568507157464214,0.4103671706263499,0.030952146010589463,2081,950,1006,1724,zero_shot::llama3.1:8b,5767,5761,6,val,0.5136217670543308,0.5391425099809061,0.49470045562610104,0.5200968438037096,0.590526940020332,0.6176237819680497,0.005579313349321709,0.057477818437802024
5760,3802,1958,0.5039930555555555,0.5034239274341931,0.5088058364382565,0.7194612169066419,0.4074171488690163,0.5202350965575147,0.37538120321596896,0.6915219611848825,0.48661275831087153,0.0968691108779734,1549,1354,604,2253,zero_shot::phi3:14b,5767,5760,7,val,0.4907986111111111,0.5170138888888889,0.49040412526357235,0.5163351611027345,0.5042476709332959,0.5356481007868817,0.07166718415582445,0.1220153455839621
5765,3806,1959,0.4388551604509974,0.43828295152528196,0.44402680960026225,0.6332244517032198,0.35654230162900685,0.45621112792065893,0.32385422418553284,0.5987748851454824,0.42035477512990505,-0.04379321304328421,1357,1173,786,2449,zero_shot::llama3.2:3b,5767,5765,2,val,0.4261925411968777,0.45169124024284474,0.4254676202786313,0.4509084299411528,0.4404750237405342,0.4720236973527253,-0.06913523109210908,-0.01843356833700139
5766,3807,1959,0.46999653139091224,0.43041462284698306,0.47853789060302326,0.6079333141707387,0.5555555555555556,0.580565468020862,0.26016615653694797,0.3037263910158244,0.2802637776731041,-0.13623797461874942,2115,595,1364,1692,zero_shot::gpt-oss:20b,5767,5766,1,val,0.4564646201873049,0.48248352410683315,0.41753096534421974,0.4425169304476545,0.5667302197529241,0.5939088454042686,-0.16203341939060595,-0.11211972409051563
